root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level",Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons with loans for property purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons with loans for transport purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons with loans for education purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons with loans to cover daily living expenses by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile","Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold",1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons owning real estate other than main residence by risk of poverty threshold,1017,1035
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons owning real estate other than main residence by income quantile,1017,1035
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile","Persons who receive a pension, by type of pension (%)",1017,1050
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile","Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",1017,1041
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons subject to immigration law enforcement - per thousand persons,1017,1042
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons employed part-time - Total,1017,1027
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile",Persons subject of asylum applications pending at the end of the month - monthly data,1017,1041
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization",Persons with loans for property purposes by risk of poverty threshold,1017,1055
1017,"People, Work & Living Conditions","Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization",Persons with loans for transport purposes by risk of poverty threshold,1017,1055
