measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Trade balance,Money & Markets,Money & Markets,True,1899,Money & Markets,1.0,3,1,correct
Share of European Neighbourhood Policy East Countries in European Union 27 trade,Money & Markets,Money & Markets,True,1732,Money & Markets,1.0,1,1,correct
Fish catches,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,645,Environment & Natural Resources and Production,1.0,2,1,correct
Government deficit/surplus and debt,Money & Markets,Money & Markets,True,729,Money & Markets,1.0,1,1,correct
Health care expenditure as a share of GDP,Health & Safety,Health & Safety,True,794,Health & Safety,1.0,3,1,correct
"Relative poverty threshold after social transfers, income per month","People, Work & Living Conditions","People, Work & Living Conditions",True,1624,"People, Work & Living Conditions",1.0,1,1,correct
"Proportion of persons at risk of relative poverty, before social transfers by sex","People, Work & Living Conditions","People, Work & Living Conditions",True,1548,"People, Work & Living Conditions",1.0,3,1,correct
Loan and deposit one year interest rate,Money & Markets,Money & Markets,True,1036,Money & Markets,1.0,1,1,correct
Government bond yields - 10 years' maturity,Money & Markets,Money & Markets,True,727,Money & Markets,1.0,3,1,correct
Money market interest rates,Money & Markets,Money & Markets,True,1147,Money & Markets,1.0,2,1,correct
Frequency of internet use by individuals aged 16-74,Tech & Innovation,Tech & Innovation,True,672,Tech & Innovation,1.0,1,1,correct
Percentage of households having internet access at home,Tech & Innovation,Tech & Innovation,True,1340,Tech & Innovation,1.0,1,1,correct
Activity rates by sex and age,Living Well,Learning & Education,False,53,"People, Work & Living Conditions",0.6666666666666666,3,2,"upstream (clustering, step 7)"
Employment and employment rates 20-64 years old by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,478,"People, Work & Living Conditions",1.0,1,1,correct
Unemployment rates by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,1950,"People, Work & Living Conditions",1.0,12,1,correct
Long-term unemployment rates by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1049,"People, Work & Living Conditions",1.0,3,1,correct
Gross weight of goods handled,Transports,Transports,True,764,Transports,1.0,7,1,correct
Money supply and official reserves,Money & Markets,Money & Markets,True,1148,Money & Markets,1.0,1,1,correct
Gross value added by industry,Money & Markets,Money & Markets,True,763,Money & Markets,0.9310344827586207,29,2,correct
Gross domestic product at market prices,Money & Markets,Money & Markets,True,755,Money & Markets,1.0,7,1,correct
Gross domestic product at market prices by expenditure,Money & Markets,Money & Markets,True,755,Money & Markets,1.0,7,1,correct
Labour productivity in GDP (constant prices) per person employed,Money & Markets,"People, Work & Living Conditions",False,985,Money & Markets,0.5555555555555556,9,2,"downstream (LLM domain choice, step 8)"
Employment growth (domestic concept),Money & Markets,"People, Work & Living Conditions",False,489,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
Nominal unit labour cost growth,Money & Markets,"People, Work & Living Conditions",False,1218,"People, Work & Living Conditions",0.6666666666666666,3,2,"upstream (clustering, step 7)"
Goods transported,Transports,Transports,True,721,Transports,1.0,5,1,correct
Length of lines,Transports,Transports,True,1006,Transports,1.0,7,1,correct
Gross domestic expenditure on R&D (GERD),Tech & Innovation,Tech & Innovation,True,754,Tech & Innovation,1.0,2,1,correct
Total area,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1877,Environment & Natural Resources and Production,1.0,2,1,correct
Passenger cars,Transports,Transports,True,1308,Transports,1.0,8,1,correct
Road freight transport,Transports,Transports,True,1648,Transports,1.0,1,1,correct
Length of roads network,Transports,Transports,True,1006,Transports,1.0,7,1,correct
Passenger road transport,Transports,Transports,True,1308,Transports,1.0,8,1,correct
Social protection expenditure excluding administrative costs (including health expenditure) as a share of GDP,"People, Work & Living Conditions","People, Work & Living Conditions",True,1784,"People, Work & Living Conditions",1.0,1,1,correct
"Industrial and construction production volume index, calendar adjusted",Money & Markets,Environment & Natural Resources and Production,False,910,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
Domestic industrial production price index,Money & Markets,Money & Markets,True,387,Money & Markets,1.0,8,1,correct
"Services turnover index, calendar adjusted",Money & Markets,Money & Markets,True,1720,Money & Markets,1.0,1,1,correct
Retail trade volume of sales index (deflated turnover),Money & Markets,Money & Markets,True,1643,Money & Markets,1.0,9,1,correct
Number of bed places in hotels and similar accomodation,Living Well,Living Well,True,6,Living Well,1.0,3,1,correct
Departures of residents going abroad for all holidays and business,Living Well,Transports,False,346,Living Well,1.0,1,1,"downstream (LLM domain choice, step 8)"
Arrivals of non-residents at hotels and similar accomodation establishments,Living Well,Living Well,True,114,Living Well,1.0,4,1,correct
Average nominal monthly wages and salaries,"People, Work & Living Conditions","People, Work & Living Conditions",True,143,"People, Work & Living Conditions",1.0,1,1,correct
Freight and mail air transport (including national transport),Transports,Transports,True,665,Transports,1.0,2,1,correct
Number of airports,Transports,Transports,True,5,Transports,1.0,1,1,correct
Air passenger transport,Transports,Transports,True,72,Transports,1.0,1,1,correct
Commercial aircraft fleet by type of aircraft,Transports,Transports,True,228,Transports,1.0,3,1,correct
Population density,"People, Work & Living Conditions","People, Work & Living Conditions",True,1458,"People, Work & Living Conditions",1.0,2,1,correct
Total fertility rate,"People, Work & Living Conditions","People, Work & Living Conditions",True,1883,"People, Work & Living Conditions",1.0,1,1,correct
"Crude rate of birth, of dead and of population change","People, Work & Living Conditions","People, Work & Living Conditions",True,318,"People, Work & Living Conditions",1.0,1,1,correct
Infant mortality rate by sex,Health & Safety,Health & Safety,True,921,Health & Safety,1.0,2,1,correct
Life expectancy at birth by sex,Health & Safety,Health & Safety,True,1024,Health & Safety,1.0,2,1,correct
Mean age at first marriage by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1108,"People, Work & Living Conditions",1.0,1,1,correct
Average population mid-year by sex and age group,"People, Work & Living Conditions","People, Work & Living Conditions",True,144,"People, Work & Living Conditions",1.0,2,1,correct
Under 5 mortality rate by sex,Health & Safety,Health & Safety,True,1947,Health & Safety,1.0,1,1,correct
Population aged 20-24 who completed at least an upper secondary educational attainment level (ISCED level 3) by sex,Learning & Education,"People, Work & Living Conditions",False,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,"upstream (clustering, step 7)"
Population aged 25 and over by sex and educational attainment level,Learning & Education,"People, Work & Living Conditions",False,1448,"People, Work & Living Conditions",0.5454545454545454,11,2,"upstream (clustering, step 7)"
School completion rate at ISCED 1 level by sex,Learning & Education,Learning & Education,True,1682,Learning & Education,1.0,1,1,correct
Number of compulsory schooling years,Learning & Education,Learning & Education,True,10,Learning & Education,1.0,1,1,correct
Net enrolment rates by sex and education level,Learning & Education,Learning & Education,True,1186,Learning & Education,1.0,1,1,correct
Literacy rate by sex and age group,Learning & Education,Learning & Education,True,1028,Learning & Education,1.0,1,1,correct
Gender parity index by education level,Learning & Education,Learning & Education,True,701,Learning & Education,1.0,1,1,correct
Air pollutants,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,73,Environment & Natural Resources and Production,1.0,1,1,correct
Population served by municipal waste,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1468,Environment & Natural Resources and Production,1.0,1,1,correct
Generation of waste by households,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,715,Environment & Natural Resources and Production,1.0,7,1,correct
